"","region","date","year","month","popn","obs","p","rate","obs.noise"
"126","Outback - North",2017-06-30,2017,6,30820,28,0.000908501,9.085009734,27
"127","Palmerston",2017-06-30,2017,6,36800,20,0.000543478,5.434782609,19
"128","Port Douglas - Daintree",2017-06-30,2017,6,12129,2,0.000164894,1.648940556,1
"129","Tablelands (East) - Kuranda",2017-06-30,2017,6,41661,12,0.000288039,2.880391733,11
"130","Townsville",2017-06-30,2017,6,192601,23,0.000119418,1.194178639,22
"131","West Pilbara",2017-06-30,2017,6,34522,4,0.000115868,1.158681421,3
"132","Whitsunday",2017-06-30,2017,6,22285,4,0.000179493,1.794929325,3
"133","Alice Springs",2017-07-31,2017,7,39616,15,0.000378635,3.78634895,14
"134","Barkly",2017-07-31,2017,7,6114,40,0.006542362,65.42361793,39
"135","Bowen Basin - North",2017-07-31,2017,7,34303,3,8.74559076465615e-05,0.874559076,2
"136","Cairns_Region",2017-07-31,2017,7,160339,45,0.000280655,2.806553615,44
"137","Charters Towers - Ayr - Ingham",2017-07-31,2017,7,42628,15,0.000351881,3.518813925,14
"138","Daly - Tiwi - West Arnhem",2017-07-31,2017,7,17945,2,0.000111452,1.114516578,1
"139","Darwin_Region",2017-07-31,2017,7,87677,74,0.000844007,8.440069802,73
"140","East Arnhem",2017-07-31,2017,7,14516,8,0.000551116,5.511160099,7
"141","East Pilbara",2017-07-31,2017,7,25894,0,0,0,0
"142","Far North",2017-07-31,2017,7,33560,67,0.001996424,19.96424315,66
"143","Innisfail - Cassowary Coast",2017-07-31,2017,7,35652,6,0.000168294,1.682935039,5
"144","Katherine",2017-07-31,2017,7,20825,56,0.002689076,26.8907563,55
"145","Kimberley",2017-07-31,2017,7,36661,2,5.45538856005019e-05,0.545538856,1
"146","Litchfield",2017-07-31,2017,7,24668,2,8.10766985568348e-05,0.810766986,1
"147","Mackay",2017-07-31,2017,7,117557,12,0.000102078,1.020781408,11
"148","Outback - North",2017-07-31,2017,7,30820,46,0.001492537,14.92537313,45
"149","Palmerston",2017-07-31,2017,7,36800,13,0.000353261,3.532608696,12
"150","Port Douglas - Daintree",2017-07-31,2017,7,12129,3,0.000247341,2.473410834,2
"151","Tablelands (East) - Kuranda",2017-07-31,2017,7,41661,11,0.000264036,2.640359089,10
"152","Townsville",2017-07-31,2017,7,192601,33,0.000171339,1.713386743,32
"153","West Pilbara",2017-07-31,2017,7,34522,2,5.79340710271711e-05,0.57934071,1
"154","Whitsunday",2017-07-31,2017,7,22285,3,0.00013462,1.346196993,2
"155","Alice Springs",2017-08-31,2017,8,39616,12,0.000302908,3.02907916,11
"156","Barkly",2017-08-31,2017,8,6114,33,0.005397448,53.97448479,32
"157","Bowen Basin - North",2017-08-31,2017,8,34303,4,0.000116608,1.166078769,3
